company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
/ORGANIZATION/128-TECHNOLOGY,/funding-round/fb6216a30cb566ede89e0bee0623a634,venture,,16/12/2014,11999347
/organization/12bis,/funding-round/19c048bab9708ca7aa465043160f59d1,seed,,15/03/2012,130636
/ORGANIZATION/12CM,/funding-round/51db8370127fb51822a3e291971ef195,venture,A,11/12/2014,1809056
/organization/12return,/funding-round/5002742a51863b56c788a14348c2c03a,angel,,01/06/2012,619494
/ORGANIZATION/12SOCIETY,/funding-round/4076aae3a04e7e3e41d6125f80c866cf,seed,,05/04/2012,
/organization/1366-technologies,/funding-round/2a31dd8a0b006b341cde0f7b721008e6,venture,B,14/01/2011,2400000
/ORGANIZATION/1366-TECHNOLOGIES,/funding-round/31e8a281fe0247f5f13f7be8afe47e01,venture,C,12/12/2013,2500000
/organization/1366-technologies,/funding-round/424129ce1235cfab2655ee81305f7c2b,venture,C,15/10/2013,15000000
/ORGANIZATION/1366-TECHNOLOGIES,/funding-round/6d3f3797371956ece035b8478c1441b2,venture,C,09/04/2015,5000000
/organization/1366-technologies,/funding-round/786f61aa9866f4471151285f5c56be36,venture,A,03/02/2010,5150000
/ORGANIZATION/1366-TECHNOLOGIES,/funding-round/82ace97530965cd2be8f262836b43ff5,venture,A,27/03/2008,12400000
/organization/1366-technologies,/funding-round/ab99fc5a53717b1b53fd6aa5687c5fa9,venture,B,16/12/2010,6000000
/ORGANIZATION/1366-TECHNOLOGIES,/funding-round/b09fa4a4c5c5f5f19305c39c94b7d673,venture,B,19/10/2010,20000000
/organization/1366-technologies,/funding-round/b8f5fdb21cbee96c15e4c51ed1e5198f,grant,,07/02/2011,3000000
/ORGANIZATION/139SHOP,/funding-round/ab94379ae87be8a333b45496f0dcb8e2,venture,A,01/02/2007,
/organization/13th-lab,/funding-round/34beaeea2a19cc3291f849905ded0927,seed,,15/06/2012,700000
/ORGANIZATION/140-PROOF,/funding-round/2dc9ff9c590200195228ce2e153a1423,venture,A,01/07/2009,3000000
/organization/140-proof,/funding-round/3d40399001b0a2088620030afc533c83,venture,B,28/04/2011,2500000
/ORGANIZATION/140FIRE,/funding-round/3b07772aa3a6bfa26d5135fa746f94e2,seed,,05/05/2010,500000
/organization/1417,/funding-round/300e54be2d535398a93fe355d123e9a4,equity_crowdfunding,,21/01/2015,
/ORGANIZATION/15FEN,/funding-round/b660e2c345e5cda7db2f1e0176a450b3,seed,,15/12/2013,
/organization/15five,/funding-round/510827fe635f2c65dffb69884763dfc6,seed,,02/10/2014,2200000
/ORGANIZATION/15FIVE,/funding-round/6c390df9112bb5ee560d419450536bd7,angel,,15/01/2013,1000000
/organization/15five,/funding-round/e7ce4181f0de392140ff584986340a54,angel,,01/01/2012,200000
/ORGANIZATION/15MINUTESNOW,/funding-round/9352dd0999084c880e8f62cbe3a2095e,seed,,10/05/2011,200000
/organization/15shopstop,/funding-round/49d31ad47fcb4fae5621b6f242754a0e,equity_crowdfunding,,17/11/2014,
/ORGANIZATION/16-MILE-SOLUTIONS,/funding-round/3a671cf6f08fe5d0a878f5627134384c,venture,,11/06/2009,199957
/organization/169-st,/funding-round/83b14cdf635963a5abc50cdafd9b462d,angel,,01/06/2009,50000
/ORGANIZATION/16LAB-INC-,/funding-round/2ee9967324046aa900ea572116ec9c38,seed,,26/11/2014,
/organization/16wifi,/funding-round/0496c258019a924b3a2da1ebaddb1f9d,venture,A,05/06/2015,16000000
/ORGANIZATION/17-MEDIA,/funding-round/f8ffde9fa822843ac6ea9b66cc615df1,venture,A,05/11/2015,10000000
/organization/170-systems,/funding-round/b84bb882ca873f5fb96535671981196d,venture,A,16/04/2002,14000000
/ORGANIZATION/17HATS,/funding-round/56195451074439e1f61fb0165d50eea1,venture,A,15/10/2015,4000000
/organization/17hats,/funding-round/d583fa6d0a08104e0b6d3b26b51fba07,seed,,18/02/2015,1250000
/ORGANIZATION/17U-CN,/funding-round/1f3e644c0446dca6939bb0f679bfa5ea,venture,C,01/05/2012,1588983
/organization/17u-cn,/funding-round/275f67ca70ae24053ee00310a1472019,venture,A,01/01/2008,479014
/ORGANIZATION/17U-CN,/funding-round/678295f15d5661577896c23dbf029fad,venture,C,17/02/2014,82372322
/organization/17zuoye,/funding-round/69690484f51e15bc27ff52bfe472cd96,venture,A,01/01/2011,5000000
/ORGANIZATION/17ZUOYE,/funding-round/8d87f771e938e0f31641bd600abbafca,venture,B,01/09/2013,10000000
/organization/17zuoye,/funding-round/8e27c236a535a50c02a17450ed82a980,venture,C,24/02/2014,20000000
/ORGANIZATION/17ZUOYE,/funding-round/afb6af473d17ff47d29e6e680c959379,angel,,01/01/2011,
/organization/17zuoye,/funding-round/c7d697c15073671f014468332f13fc9f,venture,D,19/02/2015,100000000
/ORGANIZATION/1800DIAPERS,/funding-round/5e2b8cd8ad0dcdff961fd09dee78d487,venture,B,04/12/2007,7000000
/organization/180solutions,/funding-round/e55f5f2b9ee65826cc5bf2e1cc2eec9e,venture,A,05/04/2004,40000000
/ORGANIZATION/1871,/funding-round/eb9aa2a41fe562fa69053d43d39f26f2,grant,,17/06/2014,2500000
/organization/19pay,/funding-round/61660637eae067a2980ecbc3633ad262,venture,B,01/01/2010,6230000
/ORGANIZATION/19PAY,/funding-round/6bb228fc57bbea4f884e55bae5c1699b,undisclosed,,01/01/2006,
/organization/19pay,/funding-round/f76c77002a5d69aa16dd9f7e82db7cc9,undisclosed,,01/07/2013,3248511
/ORGANIZATION/1BIB,/funding-round/db9507d458c110af3916ade1f6140e1a,venture,A,07/02/2008,
/organization/1bog,/funding-round/3d2463c9b97f32b3be8747fbd629961f,venture,A,11/02/2010,5000000
/ORGANIZATION/1C-COMPANY,/funding-round/679ae989d9dd8195e989dda21eff44b7,private_equity,,03/10/2011,200000000
/organization/1calendar,/funding-round/539642353b091d79974fef89a7c65df2,angel,,04/04/2008,40000
/ORGANIZATION/1CAST,/funding-round/36eba4dffc103f5bf10d13561e414d3d,undisclosed,,12/08/2008,
